Chrom.1,
UV,
ml,mAU
17.055939,1.219219
17.082581,1.222272
17.109253,1.221159
17.135895,1.217354
17.162537,1.214743
17.189178,1.218151
17.21582,1.22015
17.242462,1.215016
17.269104,1.213075
17.295746,1.209304
17.322388,1.201307
17.34903,1.189384
17.375671,1.178149
17.402344,1.171337
17.428986,1.159788
17.455627,1.145452
17.482269,1.134287
17.508911,1.12502
17.535553,1.114623
17.562195,1.098367
17.588837,1.086614
17.615479,1.075965
17.64212,1.055275
17.668793,1.027532
17.695435,0.997604
17.722076,0.969213
17.748718,0.939982
17.77536,0.904183
17.802002,0.868908
17.828644,0.838138
17.855286,0.801314
17.881927,0.757026
17.908569,0.710481
17.935211,0.66703
17.961884,0.620361
17.988525,0.568731
18.015167,0.515762
18.041809,0.46034
18.068451,0.40098
18.095093,0.337447
18.121735,0.275159
18.148376,0.215933
18.175018,0.161446
18.20166,0.111953
18.228333,0.06769
18.254974,0.029627
18.281616,-0.003599
18.308258,-0.030201
18.3349,-0.049014
18.361542,-0.058695
18.388184,-0.058206
18.414825,-0.052073
18.441467,-0.026513
18.468109,0.017221
18.494751,0.050687
18.521423,0.086096
18.548065,0.135911
18.574707,0.191789
18.601349,0.229329
18.627991,0.265066
18.654633,0.318644
18.681274,0.370421
18.707916,0.429907
18.734558,0.484037
18.7612,0.520879
18.787872,0.555052
18.814514,0.585962
18.841156,0.622023
18.867798,0.663615
18.89444,0.695114
18.921082,0.721257
18.947723,0.76472
18.974365,0.804479
19.001007,0.821435
19.027649,0.841375
19.054291,0.875628
19.080963,0.914198
19.107605,0.985442
19.134247,1.051553
19.160889,1.093309
19.187531,1.126814
19.214172,1.216523
19.240814,1.302382
19.267456,1.40911
19.294098,1.620665
19.32074,1.76297
19.347412,1.935858
19.374054,2.100936
19.400696,2.228067
19.427338,2.414
19.453979,2.526429
19.480621,2.590813
19.507263,2.757067
19.533905,3.023548
19.560547,3.181536
19.587189,3.289515
19.613831,3.428582
19.640503,3.506124
19.667145,3.68154
19.693787,3.816051
19.720428,3.779518
